fit_tier,priority,company,legal_name,usdot,power_units,drivers,officer,phone,email,city,state,zip,address,safety_rating,hazmat,classdef,fit_score,suggested_plan,add_on,outreach_angle,safer_url
Starter,High,TRANSPORT DYNAMICS LLC,TRANSPORT DYNAMICS LLC,1301572,10,20,JERROD LUND,6023978970,transportdynamics@cox.net,EL MIRAGE,AZ,85335,13214 WEST BUTLER DR,C,Yes,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1301572
Starter,High,CROSSROADS BROKERAGE,CROSSROADS CARRIERS LLC,1555294,10,10,JOSEPH  M LANGE,4809919830,j.lange@crossroadscarriers.com,MESA,AZ,85204,931 E SOUTHERN AVE STE 112,S,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1555294
Starter,High,WISE TRUCK LINES LLC,WISE TRUCK LINES LLC,1875902,10,8,GEORGE  WISE,5203772282,info@wisetrucklines.com,NOGALES,AZ,85621,14 BRAVO LN,None listed,No,AUTHORIZED FOR HIRE;EXEMPT FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1875902
Starter,High,CHAD NICHOLAS TRUCKING,ESS EN CY LLC,3198757,10,10,SCOTT  CALE,9517435202,scott@chadnicholas.com,FLORENCE,AZ,85132,502 E ECHO LANE,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3198757
Starter,High,AV TRUCKING COMPANY INC,AV TRUCKING COMPANY INC,681148,10,10,VISHAVDEEP  SINGH,5106280142,dispatch@avtrucking.org,LIVERMORE,CA,94551,3095 INDEPENDENCE DR  SUITE H,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=681148
Starter,High,PIER WEST TRANSPORTATION INC,PIER WEST TRANSPORTATION INC,681419,10,10,KEITH MAYER,3105496999,keithmayer@pierwest.com,LONG BEACH,CA,90810,4000 SANTA FE AVE,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=681419
Starter,High,F POZO TRANSPORT LLC,F POZO TRANSPORT LLC,687029,10,10,FERNANDO POZO,6195717610,FPOZOTRANSPORT@HOTMAIL.COM,SAN DIEGO,CA,92154,6965 CAMINO MAQUILADORA STE C,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=687029
Starter,High,A C CAMPBELLS TRANSPORT INC,A C CAMPBELLS TRANSPORT INC,702952,10,10,ANTHONY CAMPBELL,9518800705,camtrans@aol.com,COLTON,CA,92324,3000 CRYSTAL RIDGE LN,S,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=702952
Starter,High,B KIRKLAND TRUCKING INC,B KIRKLAND TRUCKING INC,1898764,10,8,KRISTIN KIRKLAND,7193102567,bkirklandtrucking@gmail.com,COLORADO SPRINGS,CO,80919,2695 STONERIDGE DR,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1898764
Starter,High,JVM TRUCKING LLC,JVM TRUCKING LLC,2111187,10,10,JULIO CESAR SANCHEZ,7208791977,juliocsanchez07@gmail.com,COMMERCE CITY,CO,80640,16305 E 107TH PL,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2111187
Starter,High,BG TRANSPORTATION LLC,BG TRANSPORTATION LLC,2371026,10,10,HRISTIANA MANOLOVA,8472607347,OTR@BGCARRIER.COM,COMMERCE CITY,CO,80022,9247 SALIDA ST,None listed,Yes,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2371026
Starter,High,GRAUBERGER TRUCKING LLC,GRAUBERGER TRUCKING LLC,2411554,10,10,SHELESTE GRAUBERGER,9703017150,kendellgraubergertrucking@yahoo.com,LASALLE,CO,80645,169 S 7TH ST,None listed,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2411554
