fit_tier,priority,company,legal_name,usdot,power_units,drivers,officer,phone,email,city,state,zip,address,safety_rating,hazmat,classdef,fit_score,suggested_plan,add_on,outreach_angle,safer_url
Growth,High,CAIN AM BICKLEY LLC,CAIN AM BICKLEY LLC,111,11,5,"JOHN S. BICKLEY, JR.",4789672291,cainchris8689@gmail.com,MARSHALLVILLE,GA,31057,218 CAMELLIA BLVD,None listed,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE;EXEMPT FOR HIRE,60,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=111
Starter,High,CWT FARMS INTERNATIONAL INC,CWT FARMS INTERNATIONAL INC,174,8,10,JAY DANIELS,7705323181,bking@AVIAGEN.COM,GAINESVILLE,GA,30501,1180 AIRPORT PARKWAY,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=174
Fleet,High,TRANSPORTATION SERVICES INC,TRANSPORTATION SERVICES INC,198,534,619,KENNETH PELLEGRINO,7342824444,,ROMULUS,MI,48174,18165 TELEGRAPH ROAD,S,Yes,AUTHORIZED FOR HIRE,110,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=198
Growth,Medium,C & K TRANSFER LLC,C & K TRANSFER LLC,206,12,7,MARK CRADY,6412363418,MSCRADY@YAHOO.COM,GRINNELL,IA,50112,127 EAST ST S,None listed,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=206
Fleet,Medium,DOUG ANDRUS DISTRIBUTING LLC,DOUG ANDRUS DISTRIBUTING LLC,234,255,255,JASON  ANDRUS,2085336700,nathan.chatriand@dougandrus.com,IDAHO FALLS,ID,83402,6300 S 45TH WEST,S,Yes,AUTHORIZED FOR HIRE;EXEMPT FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=234
Growth,High,ANDERSON COACH & TRAVEL,AC COACH OPERATIONS INC,337,46,66,DOUG D. ANDERSON,7245888310,SAFETY@GOANDERSON.COM,GREENVILLE,PA,16125,1 ANDERSON PLZ,S,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=337
Fleet,High,MOHAWK,MOHAWK CARPET TRANSPORTATION OF GEORGIA LLC,374,992,930,JEFFREY  S. LORBERBAUM,7062721821,tim_cuzzort@mohawkind.com,CALHOUN,GA,30701,160 SOUTH INDUSTRIAL BLVD,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=374
Growth,Medium,C W WILLIAMS INC,C W WILLIAMS INC,529,17,19,COLETTE WATSON,6629882117,colette@cwwilliamsinc.com,HICKORY FLAT,MS,38633,1078 CR 11,S,No,AUTHORIZED FOR HIRE;U. S. MAIL,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=529
Fleet,High,BARNHART CRANE AND RIGGING CO,BARNHART CRANE AND RIGGING CO,536,1106,848,BRANT  DURDIN,9017753000,brant@barnhartcrane.com,MEMPHIS,TN,38114,2163 AIRWAYS BLVD,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=536
Growth,High,DUFFY CRANE & HAULING,DUFFY CRANE INC,594,47,62,ROB CUMMINGS,3037788484,RCUMMINGS@DUFFYCRANE.COM,HENDERSON,CO,80640,10180 BRIGHTON RD,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,90,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=594
